player_name,Pos,salary,FG_per_game,x3P_game,x2P_game,FT_per_game,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,player_poss,exp_points
Jaylen Brown,SG,5169960,40.3215586726055,10.409098026895443,29.91246064571006,14.572737237653618,7.122014439454776,27.173224322842838,34.295238762297615,10.956945291468886,7.560292251113531,3.5062224932700436,10.847375838554198,914.88,110.60879167159413
Jayson Tatum,SF,6700800,39.310279978866966,9.78539158272225,29.524888396144718,16.449580677852058,5.904977679228944,34.33322736351686,40.238205042745804,14.171946430149465,7.085973215074732,4.80833896737214,10.291532526656159,1188.32,107.9465348784647
Jeff Green,PF,2393887,39.77311931371953,13.542381116021069,26.230738197698468,22.326628326413115,6.954195708227036,30.744865236372156,37.69906094459919,16.714470386440418,5.246147639539693,4.758133905629024,12.322346781244395,821.64,112.44960159725727
Jeff Teague,PG,19000000,31.26373438924003,6.217219906951143,25.046514482288888,21.849087101571158,2.8421576717490935,15.987136903588652,18.829294575337745,60.9287550881212,7.63829874282569,3.1974273807177305,17.23058088497888,564.32,87.7519603845877
Jerami Grant,PF,8333333,46.00258801532644,12.934713011644353,33.06787500368208,17.65869515502751,10.797673470590068,36.10472066728554,46.90239413787561,8.885585460173077,6.861021684437439,11.247576531864654,7.535876276349319,891.24,127.08059524853923
Jeremy Lamb,SG,7000000,38.97933089732635,10.400517524808654,28.578813372517693,20.89147433244173,5.8785533835875,33.372095362212114,39.250648745799616,15.555556645800769,7.958656888549231,2.8940570503815386,7.235142625953846,1108.4,107.72868473637287
Jeremy Lin,PG,12516746,32.44195058152917,7.497089420101279,24.94486116142789,23.99068614432409,2.9988357680405113,21.400782526470923,24.399618294511434,31.48777556442537,6.406603686268365,1.772039317478484,16.902528874410155,735.4,89.76294248062128
Jimmy Butler,SF-SG,19841627,40.344244803122336,6.46666124834736,33.87758355477497,30.113407604244422,11.678597179851202,21.3303303863398,33.008927566191,25.38405833306501,11.871631843980975,3.7641759505305528,9.169146546164168,1038.6,108.30201848099652
JJ Redick,SG,12250000,37.13308579686193,19.716682723997486,17.416403072864444,18.73084858779761,1.6430568936664571,13.637372217431594,15.280429111098051,16.92348600476451,2.6288910298663315,1.3965983596164886,8.297437313015608,1220.2,110.63216888591458
Joe Harris,SG,8333333,42.82123195916583,20.952634889110552,21.868597070055277,12.59447998798995,5.953754176140704,27.364370155723616,33.31812433186432,20.723644343874373,4.350820359487437,1.9464196345075377,13.853927986788944,875.52,126.58370179647008
Joe Ingles,PF,12545455,35.486137230949005,18.68211681517928,16.804020415769724,8.599704565717447,3.459651262070237,29.159917780306284,32.619569042376526,46.35932691174118,9.687023533796664,1.9769435783258498,19.07750553084445,1014.12,108.2550993755897
Joel Embiid,C,25467250,37.49669966199471,5.107309091892383,32.38939057010233,33.74702969579524,10.343917148136473,45.96578182703145,56.30969897516792,15.12797882914959,2.9738761800892357,7.88723682545406,14.610782971742767,1550.56,99.89725937489662
John Collins,PF,2299080,54.9007691079391,6.493639356853011,48.40712975108608,23.96743253529384,25.856491257287445,44.39287996684968,70.24937122413712,14.286006585076626,2.5974557427412046,4.604580634859408,14.167940414952024,849.04,144.667943100262
John Wall,PG,19169800,33.414300360863514,6.955629871036895,26.458670489826623,16.63895773071571,2.04577349148144,13.774874842641696,15.820648334123135,38.05138694155478,6.682860072172703,3.9551620835307837,16.502572831283615,735,91.97709523743913
Jonas Valanciunas,C,16539326,50.00515947275399,2.325821370825767,47.679338101928224,24.421124393670553,17.609790379109377,51.998720647747504,69.60851102685689,11.629106854128835,3.156471860406398,8.804895189554689,14.95170881245136,603.4,128.69762493974505
